,username,headline,interests,about_me_text,About,City,Details,Ethnicity,Intent,Education,Personality,Profession,I am Seeking a,For,Needs Test,Chemistry,Do you drink?,Do you want children?,Marital Status,Do you do drugs?,Hair Color,Eye Color,Do you have a car?,Do you have children?,Longest Relationship,How ambitious are you?,Pets,Second Language,Age,Gender,Zodiac Sign
match_316,DanielGold,Love my life. Join me?,"['Working out', 'Staying healthy and fit', 'Traveling']",I really enjoy my life and would not change anything. But I am looking for someone special to enjoy the future with. I am ope-minded and adventurous. I believe in the golden rule and influencing the world in a positive way.,Non-Smoker with Athletic body type," San antonio, Texas ","46 year old Male, 6' 2"" (188cm), Non-religious",Caucasian,DanielGold is looking for a relationship.,Bachelors Degree,Adventurer,Personal trainer/Model,Woman,Dating,Not Completed,Not Completed,Socially,Prefer Not To Say,Single,No,Black,Hazel,Yes,Yes,Over 10 years,Ambitious,No Pets,,46,M,Pisces
match_317,luv4you74,Let's see!,"['Riding bikes', 'Walk near water', 'Golf']","I've been on this site for some time now ( less than 1 year) and I feel that people misjudge or label you before even meeting you. Not everyone is photogenic. That does not necessarily mean you will look exactly as in your pics. Yes, you will have most of the features and IT WILL be you but for some of us, photos don't do us real justice. I'm an example of that and I have been told many times I need to get rid of my pics because they don't really represent the real me or do a poor job representing me. So, having this said, if you come across my profile or I have reached out to you, give yourself the chance to really see the real me and not just "" Unread delete"" I get it, is all about attraction as well and we will never be always attracted to everyone. If you are in doubt, then meet the real me and decide. The worst than can happen is you made a new friend. ABOUT ME:Im a father of 3 loving kiddos ages 10, 7 and 6 ( Boy, girl, boy). They are my life and priority. I'm very active and love to work out. I actually run and lift weights everyday. I used to compete in Jiu jitsu but life took over and my kids soccer schedule got in the way. I'm a very genuine, romantic, sentimental and affectionate man. I'm very nostalgic and caring. I'm very outgoing and spontaneous. I love to surprise and love details. I can tell if we are on a good path once we meet. It's all about a solid connection and chemistry. If you are really looking for someone caring and real, give yourself a chance to meet me and I'm sure I won't disappoint. I wish you the best in your search!",Non-Smoker with Average body type," Round rock, Texas ","45 year old Male, 5' 9"" (175cm), Christian - other",Caucasian,luv4you74 is actively seeking a relationship.,Some University,Class Clown,Network Engineer,Woman,Long Term,Not Completed,View his chemistry results,Socially,Does not want children,Divorced,No,Black,Hazel,Yes,Yes,Over 10 years,Very Ambitious,No Pets,Spanish,45,M,Cancer
match_318,Fin_Diesel,Do you deserve a neck and back massage?,"['Some of my interest', 'Are traveling', 'And Being A Great Father And Community Member Having Fun']",I am a very uplifting attitude all the time. My character is usually lifted and gifted. I love to help others and be considerate and kind.,Non-Smoker with Athletic body type," San marcos, Texas ","43 year old Male, 5' 8"" (173cm), Non-religious",Caucasian,Fin_Diesel is looking for a relationship.,Some college,Animal Lover,Construction Builder Consultants,Woman,Dating,Not Completed,Not Completed,Socially,Undecided/Open,Single,No,Brown,Blue,Yes,All my kids are over 18,Over 7 years,Very Ambitious,No Pets,,43,M,Cancer
match_319,jusmeandmyguitar1,Seeking Something Extraordinary...,"['Live sporting events', 'A good movie or a nice cuddling session', '']","What's up with all the Instagram Filters?? (I recently met a woman and did not recognize her) wth....Ladies Stop taking Pics with these Overhead Angles, you are eliminating the Angle that concerns us the most; Please take a natural pic with no filters...lol. Instagram Models...smhAre u searching for Love or a friend? I'm Athletic and outgoing.. you?There are a few profiles on the site that state the following: must have own Car, Job and their own home or Apt. However most of those making that request don't live on their own, have roommates or live with family and some don't even own a car of there own..smh.. It all starts with a conversation.... live, love and laugh...",Non-Smoker with Average body type," San antonio, Texas ","51 year old Male, 6' 2"" (188cm), Non-religious",Black,jusmeandmyguitar1 is looking for a relationship.,Masters Degree,Artsy,HARD WORKING,Woman,Dating,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Black,Brown,Yes,All my kids are over 18,Over 10 years,Somewhat Ambitious,Dog,,51,M,Leo
match_32,Mr251,Hey,None,Strong quiet type but will open up once I get to know you. I work a lot but will definitely make time for that special someone.,Non-Smoker with Thin body type," San antonio, Texas ","42 year old Male, 6' 5"" (196cm), Christian - other",Black,Mr251 is looking for a relationship.,Associates Degree,Homebody,Logistics,Woman,Dating,Not Completed,Not Completed,Prefer Not To Say,Prefer Not To Say,Divorced,No,Black,Brown,Yes,All my kids are over 18,Over 6 years,Ambitious,No Pets,,42,M,Sagittarius
match_320,catchhogs,It's time to break out an ride 3,None,"what could start with what I am lookin for is honestly I just want real , I see so many women here that I have a lot in common with me fishing an hunting trapping getting that old 4x4 an back roading or going off for the weekend on the old Harley among other things but because I'm a big guy y'all won't even talk to me I read a lot about y'all wanting real men an your idea of him is the Marlboro man or if your in the city the old Chuck Norris look lol I think it's funny y'all want real but y'all really want real pretty boys I stopped wherein that cowboy uniform a long time ago an I look a whole lot like a big ole biker but country runs deep in my veins so next time you look at my pics country girls there's more cowboy an real man in me than most men out there .Now with that being said I'm devorced an looking for one good woman that wants a commitment and is marriage minded I'm tired of being by myself and the last thing I want to do is wake up at 75 years old and roll over and look at an empty pillow I want to meet somebody get to know an date and then take it from there I don't need a bunch of women I just need one good one and it seems like they're getting harder and harder to find seems like a lot of the women nowadays or like the men were when I was younger I know there's somebody out there for me and if you're looking for real you're just finding all you got to do is talk to me on the phone and you'll see everything I'm talking about see I mean here.",Non-Smoker with Big & Tall/BBW body type," Cameron texas, Texas ","52 year old Male, 6' 0"" (183cm), Christian - other",Caucasian,catchhogs is actively seeking a relationship.,High school,Hopeless Romantic,Retired business owner,Woman,Long Term,Not Completed,View his chemistry results,Socially,Does not want children,Divorced,No,Mixed Color,Brown,Yes,Yes,Over 10 years,Somewhat Ambitious,Cat & Dog,Other,52,M,Scorpio
match_321,poolshark_77,I am excited to meet someone,"['Hunting', 'Wine', 'Food']","I love what I do and the people I work with. I am a bit of a workaholic but enjoy weekends off. I love to float the river, fishing, hunting, travelling, sports and just being outdoors. I am a huge movie buff though. I listen to a very large variety of music. I would rather stay home and cook a meal while listening to music and then watch a good movie. Huge animal lover. I have a sweet dog and cat who were both rescued.",Non-Smoker with Athletic body type," San marcos, Texas ","42 year old Male, 5' 8"" (173cm), Christian - other",Hispanic,poolshark_77 wants to date but nothing serious.,Associates Degree,Hopeless Romantic,Project Manager,Woman,Dating,Not Completed,View his chemistry results,Socially,Undecided/Open,Single,No,Black,Brown,Yes,No,Over 10 years,Very Ambitious,Cat & Dog,Spanish,42,M,Virgo
match_322,endoplasmicBlueFish,Dog Seeks Mate For Her Human,"['Computers', 'Movies', 'Home automation']","Live in austin, texas and am spending the summer in Ohio out of the texas scorch. 1. hobbies - reading, computering, dog walking, motorcycle riding, house repairing, working, playing with the k9ing, backpacking...2. goals - develop hardware software for personal use. Live to be 312. Ride the continental divide. 3. Unique - oh man...a lot. Never been married, yet over 40. That's kind of unique. Red flag? Maybe :) I don't feel so. Self employed since 20024. Music? - anything with depth. No soda pop rock. Classical to Rap. There's value in most of it. Really into Americana right now.",Non-Smoker with Average body type," Austin texas, Texas ","55 year old Male, 6' 0"" (183cm), Non-religious",Caucasian,endoplasmicBlueFish is looking for a relationship.,Bachelors Degree,Geek,Software Development,Woman,Dating,Not Completed,View his chemistry results,Socially,Undecided/Open,Single,No,Grey,Hazel,Yes,No,Under 1 year,Ambitious,Dog,,55,M,Capricorn
match_323,Markoftheday,Is there anyone carefree anymore?,None,Love playing sportsWorking with my handsI like to keep busy I would like to travel more.,Non-Smoker with Athletic body type," Georgetown, Texas ","35 year old Male, 5' 9"" (175cm), Non-religious",Caucasian,Markoftheday wants to date but nothing serious.,Bachelors Degree,Athletic,Military,Woman,Dating,Not Completed,Not Completed,No,Does not want children,Single,No,Brown,Blue,Yes,No,Over 4 years,Very Ambitious,Dog,,35,M,Leo
match_324,RyanR777,Trying this out.,"['Sports', 'Movies', 'Amusement parks']","I'm a hard working dad. I like to go out with friends and have a good time. I'm very kind, loving, reliable, honest guy.",Non-Smoker with Average body type," Pflugerville, Texas ","39 year old Male, 5' 9"" (175cm), Non-religious",Caucasian,RyanR777 is looking for a relationship.,High school,Blue Collar,Decon Tech,Woman,Dating,Not Completed,Not Completed,Socially,Undecided/Open, Separated,No,Mixed Color,Blue,Yes,Yes,Over 3 years,Very Ambitious,Dog,,39,M,Sagittarius
match_325,hernaa44,Just here to meet new people,None,Just here to meet new people and see where it goes from thier,Non-Smoker with Prefer Not To Say body type," Seguin, Texas ","47 year old Male, 5' 11"" (180cm), Catholic",Hispanic,hernaa44 is looking for a relationship.,High school,Homebody,Shop supervisor ,Woman,Dating,Not Completed,Not Completed,Socially,Prefer Not To Say,Divorced,No,Black,Brown,Yes,Yes,Over 10 years,Somewhat Ambitious,Dog,,47,M,Scorpio
match_326,petxx,just seeing what out there,None,"Average guy here, enjoys the great outdoors. I work with animals and have been for over 20 years. Enjoy cooking try new things when it comes to food.Anything outdoors is always fun, so much to do in this beautiful town. Enjoy live music, good movie and great company..",Non-Smoker with Average body type," Austin, Texas ","50 year old Male, 5' 5"" (165cm), Catholic",Other Ethnicity,petxx is looking for a relationship.,Some college,Animal Lover,vet tech,Woman,Dating,Not Completed,Not Completed,Socially,Does not want children,Single,No,Mixed Color,Brown,Yes,All my kids are over 18,Over 10 years,Ambitious,Dog,Spanish,50,M,Aries
match_327,spursfan70,An Educated Man!,"['Movies', 'Vacations', 'Basically FUN Things']",I'm an educated man. I am looking for someone with similar interests.,Non-Smoker with Athletic body type," San antonio, Texas ","49 year old Male, 5' 11"" (180cm), Catholic",Hispanic,spursfan70 is looking for a relationship.,Bachelors Degree,Athletic,Safety,Woman,Dating,Not Completed,Not Completed,Socially,Undecided/Open,Single,No,Brown,Brown,Yes,Yes,Over 7 years,Very Ambitious,Dog,Spanish,49,M,Aquarius
match_328,Dawginsat23,Hmmm,None,Tell me what up,Non-Smoker with Athletic body type," San antonio, Texas ","37 year old Male, 6' 0"" (183cm), Non-religious",Hispanic,Dawginsat23 wants to date but nothing serious.,High school,Adventurer,Sales,Woman,Dating,Not Completed,Not Completed,Socially,Prefer Not To Say,Single,No,Black,Brown,Yes,Yes,Over 4 years,Somewhat Ambitious,No Pets,,37,M,Capricorn
match_329,Crazeechris01,hello there,"['Movies', 'Eating', 'Some gym but not a musclehead']","I am a laid back easy going guy. I have a job and a car lol. Anything you want to know just ask. We can meet for coffee or some drinks. I am looking to get a connection with someone. See where things lead to.I like to go to the lake, having a few drinks with friends. I am up for almost anything or a quiet night curled up watching a movie. Love football ?? both college and NFL. I can watch any sport but I don’t really follow any team.",Non-Smoker with Prefer Not To Say body type," Hutto, Texas ","48 year old Male, 5' 9"" (175cm), Non-religious",Caucasian,Crazeechris01 is looking for a relationship.,Some college,Film/TV Junkie,Security Guard ,Woman,Dating,Not Completed,Not Completed,Socially,Does not want children,Single,No,Bald,Hazel,Yes,Yes,Over 10 years,Somewhat Ambitious,No Pets,,48,M,Virgo
match_33,DLO553,WHATS WITH ALL THE FAKE PROFILES.,None,Ask.,Non-Smoker with Average body type," ........, Texas ","40 year old Male, 5' 6"" (168cm), Catholic",Hispanic,DLO553 is looking for a relationship.,Some college,Free Thinker,Foreman,Woman,Friends,Not Completed,Not Completed,Socially,Prefer Not To Say,Single,No,Black,Brown,Yes,Yes,Over 2 years,Somewhat Ambitious,No Pets,Other,40,M,Gemini
match_330,lukin4lov49,Xoxoxoxo,"['Movies', 'Running', 'Bowling']",Xoxoxoxoxo,Non-Smoker with Average body type," Buda, Texas ","49 year old Male, 5' 5"" (165cm), Catholic",Hispanic,lukin4lov49 wants to find someone to marry.,Associates Degree,Homebody,Retail,Woman,Long Term,Viewhis relationship needs,Not Completed,Socially,Prefer Not To Say,Single,No,Brown,Brown,Yes,Yes,Over 6 years,Ambitious,No Pets,English,49,M,Capricorn
match_331,loosechange57,Hopeless romantic looking ....,"['Music', 'Sports', 'Outdoor venues']",Down to earth man who enjoys the simple things in life. Keeos in shape. Very caring and loving man Music is my life I play and dance anything.I don't judge the outer appearance only what you're about on the inside. I have Christ in my life and you should too. No games or B S please.I desire a good woman who wants to be loved and isn't afraid to love back.,Non-Smoker with Athletic body type," San antonio, Texas ","62 year old Male, 6' 2"" (188cm), Christian - other",Mixed Race,loosechange57 is actively seeking a relationship.,Some University,Blue Collar,Transportation,Woman,Long Term,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Mixed Color,Brown,Yes,All my kids are over 18,Over 8 years,Ambitious,No Pets,Spanish,62,M,Capricorn
match_332,dwej,Looking for someone who is my equal.,"['Food', 'Cooking', 'Gaming']","To be honest this is going to be short as I am very weird. I have been called crazy. Why, because I faked being stood up so I could spend time with someone I liked. As for music I like most except country. As for my goals I am looking for someone to spend time with and watch the world end together. I am a spirit keeper with very unique belief system. I am an excellent cook. And love cooking for family and friends. Anyway if you like what you see send a message.",Non-Smoker with Average body type," Leander, Texas ","46 year old Male, 5' 6"" (168cm), Other",Other Ethnicity,dwej is looking for a relationship.,Some college,Adventurer,Fry Cook,Woman,Dating,Not Completed,View his chemistry results,Socially,Does not want children,Single,No,Black,Brown,No,All my kids are over 18,Over 9 years,Ambitious,No Pets,,46,M,Pisces
match_333,james2200,&^@$@$%,None,I am looking to chat. ,Non-Smoker with Average body type," Cedar park, Texas ","42 year old Male, 5' 9"" (175cm), Christian - other",Caucasian,james2200 wants to date but nothing serious.,Bachelors Degree,Night Owl,Tech,Woman,Friends,Not Completed,Not Completed,Socially,Undecided/Open,Divorced,No,Brown,Hazel,Yes,All my kids are over 18,Over 10 years,Very Ambitious,Dog,Other,42,M,Aries
match_334,samike,Don't gain the world and lose your soul....,"['Hunting', 'Fishing', 'Cooking']","I am a fire, water and food kinda guy! The essence(s) of life. I'm here to meet a fun lady to go out with and enjoy each other''s company. I like to fish, going out to the country to have campfires and barbecue. I love to cook, especially breakfast and smoking meats on the pit. I like to travel, enjoy photography, boating, have a decent sense of humor. I like driving the jeep in the country with the top down listening to some good vibes jams on sunny days finding the prettiest parts of Texas and would like a special friend to make those kind of memories with! Or head to the coast, jump on the boat and go fish the Laguna Madre or the Gulf or just hang on the beach, chill around a bonfire, play beach soccer tennis, horseshoes or cornhole and find my happy place! **Message me as I will not know if you press the want to meet you button!",Non-Smoker with Average body type," San antonio, Texas ","48 year old Male, 5' 8"" (173cm), Buddhist",Hispanic,samike wants to date but nothing serious.,Some University,Hedonist,Telecom/Construction,Woman,Dating,Not Completed,View his chemistry results,Socially,Undecided/Open,Single,No,Brown,Brown,Yes,All my kids are over 18,Over 10 years,Ambitious,Dog,Spanish,48,M,Virgo
match_335,Workplaharder,only live once,None,"I have traveled the world. I have seen and been in the lot of places, I speak three different languages. My job has taking me around the world and back again. Because of my intertwining Crazy Life I like to keep my personal life very simple. Simply get to know one another and see where the road takes us.",Non-Smoker with Average body type," Austin, Texas ","42 year old Male, 5' 8"" (173cm), Christian - other",Hispanic,Workplaharder wants to date but nothing serious.,Bachelors Degree,Blue Collar,Mechanical engineering,Woman,Dating,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Black,Green,Yes,Yes,Over 10 years,Ambitious,No Pets,Spanish,42,M,Aries
match_336,rng71,Looking for my best friend!! PLEASE READ!!!!,"['Music', 'Rodeos', 'Dancing']","Hi!! I am 6-3 and a big guy! I like to take road trips, dancing,live music are just a few! I grew up on ranches and spent my early years in rodeo!! Love my friends and family and always looking for more of them!! If you like to have fun, looking for a relationship and want a good man that wants a good woman then feel free to contact me!! :-)I AM NOT AN UPGRADED MEMBER!!!!!  So if your profile only excepts messages from up grade members and you want me to respond to you then you either have to message me first or take your block off of your profile!! Also I can't see the meet me section so if you want to meet me then view me first then select meet me!!",Non-Smoker with Average body type," Burnet, Texas ","48 year old Male, 6' 3"" (191cm), Christian - other",Caucasian,rng71 is looking for a relationship.,Associates Degree,Free Thinker,Welder,Woman,Dating,Not Completed,Not Completed,Often (>3times/week),Prefer Not To Say,Single,No,Brown,Green,Yes,Yes,Over 10 years,Ambitious,Other,,48,M,Leo
match_337,raheem4450,I'm. A open. Minded person and honest,None,I love working out. Spending time on long walks I love animal an love riding motorcycle horses,Non-Smoker with Athletic body type," Austin texas, Texas ","50 year old Male, 5' 8"" (173cm), Baptist",Black,raheem4450 wants to find someone to marry.,High school,Animal Lover,Construction ,Woman,Long Term,Not Completed,View his chemistry results,Socially,Prefer Not To Say,Single,No,Black,Brown,Yes,Yes,Over 4 years,Ambitious,Dog,,50,M,Aquarius
match_338,musikguy73,One last try I guess..,None,"Hello! I''m a simple down to earth hopeless romantic, I love the outdoors, mini road trips, exploring, movies, BBQs, bowling, miniature golf, fast cars live music, karaoke bars, stuff like that. Looking for someone honest faithful and who is looking for the same.",Non-Smoker with Thin body type," Bastrop, Texas ","46 year old Male, 5' 10"" (178cm), Christian - other",Hispanic,musikguy73 is actively seeking a relationship.,Some college,Hopeless Romantic,Technician,Woman,Long Term,Not Completed,Not Completed,No,Undecided/Open,Divorced,No,Black,Brown,Yes,Yes,Over 9 years,Very Ambitious,No Pets,,46,M,Taurus
match_339,bigneg,Hi,None,"Don't let the collared shirt and khaki pants fool you. Just a uniform I wear. I'd love to wax phosophocally about where we're heading as a country or maybe how we are declining as a species. I am comfortable at home cooking dinner, in a suit at the opera or in a mask starting a riot. It's up to you. I'm fun, ambitious and just on this side of evil genius.",Non-Smoker with Average body type," San antonio, Texas ","36 year old Male, 6' 4"" (193cm), Non-religious",Caucasian,bigneg is actively seeking a relationship.,Associates Degree,Intellectual,Turf,Woman,Dating,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Blond(e),Blue,Yes,Yes,Over 10 years,Very Ambitious,No Pets,Spanish,36,M,Scorpio
match_34,Silver4G,......,"['Fishing', 'Bbq', 'Family']","I love family and friends. I love to fish, BBQ and be out doors. I love going on random adventures. I do work a lot but enjoy my days off to the max.",Non-Smoker with Athletic body type," San antonio, Texas ","34 year old Male, 5' 10"" (178cm), Catholic",Hispanic,Silver4G is looking for a relationship.,Some college,Adventurer,CNC,,Friends,Not Completed,Not Completed,Socially,Undecided/Open,Single,No,Black,Brown,Yes,Yes,Over 2 years,Very Ambitious,Dog,,34,M,Taurus
match_340,startrek53,Drama free,None,I'm laid back,Non-Smoker with Average body type," Austin, Texas ","55 year old Male, 6' 0"" (183cm), Christian - other",Black,startrek53 is looking for a relationship.,High school,Free Thinker,My job,Woman,Long Term,Not Completed,Not Completed,No,Undecided/Open,Divorced,No,Bald,Brown,Yes,All my kids are over 18,Over 8 years,Very Ambitious,Dog,,55,M,Libra
match_341,kanOkempper,Let’s explore Austin!,None,"Professional, clean cut, athletic",Non-Smoker with Athletic body type," Austin, Texas ","40 year old Male, 6' 1"" (185cm), Christian - other",Caucasian,kanOkempper is looking for a relationship.,Masters Degree,Professional,VP Tech,Woman,Dating,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Blond(e),Blue,Yes,No,Over 7 years,Very Ambitious,Dog,English,40,M,Cancer
match_342,RomantiKKnight,Flames always starts with a spark,None,There is no way to know if you and me are meant for each other if we pre judge each other. We won't know if we don't give each other the opportunity.,Non-Smoker with Average body type," San marcos, Texas ","38 year old Male, 5' 9"" (175cm), Other",Hispanic,RomantiKKnight is looking for a relationship.,Some college,Blue Collar,Operations Manager,Woman,Long Term,Not Completed,Not Completed,Prefer Not To Say,Undecided/Open,Single,No,Brown,Brown,No,No,Over 1 year,Somewhat Ambitious,No Pets,Spanish,38,M,Gemini
match_343,dc4lman,hey! who’s out there?,None,Sports outdoors movies anything fun,Non-Smoker with Average body type," Austin, Texas ","38 year old Male, 5' 8"" (173cm), Non-religious",Hispanic,dc4lman is looking for a relationship.,High school,Traveler,construction,Woman,Long Term,Not Completed,Not Completed,No,Want children,Single,No,Black,Brown,Yes,Yes,Over 10 years,Ambitious,No Pets,,38,M,Libra
match_344,CentralTexasRob,It is a Texas A&M University Ring.,None,"Texas A&M University Alumni - College Station - December 2000.Leasing Professional.POF fake women profile responses:. Hi., Hey there:), go to this website because I'm real, call 818-XXX-XXXX which is on many different profiles.Ladies if you are curious why guys are rude here... Too many women with fake profiles. POF stands for Pissed Off Fakes... Too many jaded women here.",Non-Smoker with Athletic body type," Live oak, Texas ","42 year old Male, 5' 10"" (178cm), Other",Caucasian,CentralTexasRob is looking for a relationship.,Bachelors Degree,Adventurer,Leasing Professional,Woman,Dating,Not Completed,View his chemistry results,No,Undecided/Open,Single,No,Black,Brown,Yes,No,Over 4 years,Very Ambitious,Dog,,42,M,Sagittarius
match_345,Javi_TX,Hi there,None,I love to travel and enjoy adventures,Non-Smoker with Athletic body type," Cibolo, Texas ","42 year old Male, 5' 9"" (175cm), Non-religious",Hispanic,Javi_TX wants to date but nothing serious.,Bachelors Degree,Traveler,Military,Woman,Hang Out,Not Completed,Not Completed,Prefer Not To Say,Prefer Not To Say,Separated,No,Brown,Brown,Yes,Yes,Over 10 years,Ambitious,No Pets,Spanish,42,M,Aquarius
match_346,ghaethyassen,Finding Dory,"['Outdoors', 'Sports', 'Movies']","I recently moved to south Austin from Cleveland. I am a very goal-oriented person. I have been working as a research faculty member for years but decided to change my career recently! That’s why I moved to Austin! I like the outdoors, sports, movies, reading, running and long walks.I love cultural diversity so much and I have been exposed to a lot of different cultures. I think that there is always something fascinating in every culture. I wish I had the time and money to explore other cultures. I don't lie and I have a good head on my shoulders (Kinda nerdy lol). I am looking for my best friend as a start and hopefully something real and deep will come with time. Btw I still know nothing about Austin! It would be great if somone could show me around!",Non-Smoker with Athletic body type," Austin, Texas ","41 year old Male, 5' 10"" (178cm), Other",Other Ethnicity,ghaethyassen is looking for a relationship.,PhD / Post Doctoral,Bookworm,Medical,Woman,Dating,Not Completed,View his chemistry results,No,Undecided/Open,Single,No,Black,Brown,Yes,No,Over 2 years,Very Ambitious,No Pets,,41,M,Capricorn
match_347,marky210sa,looking for me ?,None,"Does anyone even read this , well if you do sorry but I had no idea how much to brag about myself lol",Non-Smoker with Average body type," San antonio, Texas ","43 year old Male, 5' 8"" (173cm), Non-religious",Hispanic,marky210sa is actively seeking a relationship.,High school,Daredevil,being awesome ??,Woman,Long Term,Not Completed,Not Completed,Socially,Prefer Not To Say,Single,No,Black,Brown,Yes,Yes,Over 5 years,Very Ambitious,No Pets,Spanish,43,M,Sagittarius
match_348,TeddyWayne,Want to enjoy some time together?,"['Shooting pool', 'Hiking', 'Photography']",I am looking for a friend first that hopefully leads to more. I enjoy exploring Texas and would love some quality company in my next adventure! ??I love to joke around and laugh so a sense of humor is a big plus. ,Non-Smoker with Average body type," Hutto, Texas ","54 year old Male, 6' 2"" (188cm), Christian - other",Caucasian,TeddyWayne is looking for a relationship.,Associates Degree,Homebody,Maintenance mechanic,,Dating,Not Completed,Not Completed,Socially,Undecided/Open,Divorced,No,Mixed Color,Blue,Yes,Yes,Over 10 years,Somewhat Ambitious,No Pets,,54,M,Aries
match_349,barryniceguy,Any nice girls left?,"['Cruises', 'Traveling', 'Swimming']","I love to escape by riding my motorcycle with friends. It''s a great way to listen to music or podcasts and Clear your mind. I listen to Paul Sheppard, Tony Evans, or Stephen Furtick preach if I''m not listening to music.",Non-Smoker with Average body type," Georgetown, Texas ","38 year old Male, 5' 7"" (170cm), Christian - other",Caucasian,barryniceguy is actively seeking a relationship.,Bachelors Degree,Hopeless Romantic,Delivery,Woman,Long Term,Not Completed,View his chemistry results,No,Want children,Divorced,No,Brown,Blue,Yes,Yes,Over 8 years,Very Ambitious,No Pets,,38,M,Aquarius
match_35,ob1can,Loves the beach :),"['Music', 'Travel', 'Good food']","I love to travel and explore new cultures., love to cook, stay fit and eat healthy, music is my passion. Love water, beaches, and out doors in general. Always down for a good bbq!Laid back, no drama is a plus :)",Non-Smoker with Athletic body type," Austin, Texas ","47 year old Male, 5' 8"" (173cm), Non-religious",Caucasian,ob1can wants to date but nothing serious.,Some college,Adventurer,Engineer,Woman,Dating,Not Completed,Not Completed,Socially,Prefer Not To Say,Single,No,Brown,Brown,Yes,No,Over 8 years,Ambitious,No Pets,,47,M,Capricorn
match_350,tryintostaypositive74,Why is this so hard?!!!!,"['Bowling', 'Mini Golf', 'Movies']",I lived the Bachelor life for a long time. I've gotten to the point in my life where I realize it's time to move on to the next stage. Lookin for someone to share my life with. I prefer white or Hispanic women. Curves are a definite plus!! If the majority of your pictures have Snapchat filters (especially the main one) don't bother.,Non-Smoker with Average body type," San antonio, Texas ","45 year old Male, 6' 1"" (185cm), Non-religious",Black,tryintostaypositive74 is looking for a relationship.,High school,Class Clown, railroad ,Woman,Dating,Not Completed,View his chemistry results,Socially,Does not want children,Single,No,Black,Brown,Yes,No,Over 3 years,Somewhat Ambitious,Cat,,45,M,Libra
match_351,nunn59,Good honest trustworthy man..,None,I''m looking for Long term relationship with a Good honest woman that wants one man in her life and willing to show her love everyday as I will towards her... I don''t believe in cheating or lies..she should be the same... I have a big heart full of love for the right woman... do you have a big heart to,Non-Smoker with Thin body type," Rockdale, Texas ","60 year old Male, 5' 0"" (152cm), Christian - other",Caucasian,nunn59 is actively seeking a relationship.,High school,Class Clown,Truck Driver,Woman,Long Term,Not Completed,Not Completed,Often (>3times/week),Does not want children,Divorced,No,Mixed Color,Blue,Yes,All my kids are over 18,Over 6 years,Somewhat Ambitious,No Pets,,60,M,Libra
match_352,Dr_Pep,Let’s do this !,None,"I’m an easy going guy. Like to ride my motorcycle. Also like to spend time at the coast. A few cold drinks on a hot day aren't bad either! Love music, pop, r&b, soft rock, old school and live music. I was granted a second chance at life, after a near death experience. I look at life very differently now. I enjoy it!",Non-Smoker with Average body type," San antonio, Texas ","56 year old Male, 6' 0"" (183cm), Christian - other",Mixed Race,Dr_Pep is looking for a relationship.,Associates Degree,Traveler,Federal Government,Woman,Long Term,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Bald,Brown,Yes,Yes,Over 8 years,Ambitious,No Pets,Spanish,56,M,Sagittarius
match_353,solublefish,"Be Zorch, Daddy-O","['Art', 'Music', 'Poetry']","Live in ATX, work in the ATX and SA area. Into art, music, poetry and do IT for a living. I enjoy a good patio hangout or the occasional road trip in the hill country. I am looking for someone down to earth, intelligent, and easy going. I like cats and playing guitar: https://giphy.com/gifs/f9S2wjieyxAhoOFdov",Non-Smoker with Athletic body type," Austin, Texas ","48 year old Male, 6' 2"" (188cm), Non-religious",Caucasian,solublefish is looking for a relationship.,Bachelors Degree,Artsy,IT,Woman,Long Term,Not Completed,Not Completed,Socially,Does not want children,Single,No,Brown,Brown,Yes,No,Over 1 year,Ambitious,No Pets,,48,M,Scorpio
match_354,ironnova,...,None,"I enjoy going to the gym, and walking my dogs.",Non-Smoker with Athletic body type," San antonio, Texas ","34 year old Male, 5' 8"" (173cm), Buddhist",Asian,ironnova wants to date but nothing serious.,Some college,Animal Lover,Software developer,Woman,Friends,Not Completed,Not Completed,No,Undecided/Open,Single,No,Black,Brown,Yes,No,Over 3 years,Ambitious,Dog,Other,34,M,Sagittarius
match_355,sqwheeler1,Looking for someone who enjoys life...,"['Cooking', 'Travel', 'Restaurants']","I shave my head daily, but have brown hair otherwise. In my free time I like to cook and visit with family and friends often. I like all types of music as well and support local bands when I can. I respect other people’s opinions and consider myself easy going and opened minded. Since I have family all over the world, I like to keep up with current events.",Non-Smoker with Average body type," San antonio, Texas ","45 year old Male, 5' 7"" (170cm), Catholic",Caucasian,sqwheeler1 is actively seeking a relationship.,Bachelors Degree,Chef,Technology,Woman,Dating,Viewhis relationship needs,View his chemistry results,Socially,Want children,Single,No,Bald,Brown,Yes,No,Over 8 years,Ambitious,Dog,,45,M,Sagittarius
