,username,headline,interests,about_me_text,About,City,Details,Ethnicity,Intent,Education,Personality,Profession,For,Needs Test,Chemistry,Do you drink?,Do you want children?,Marital Status,Do you do drugs?,Hair Color,Eye Color,Do you have a car?,Do you have children?,Longest Relationship,How ambitious are you?,Pets,Second Language,AboutMe,Interests,AboutAndrea,AboutCandie,AboutTiffany,AboutTrini,AboutSophia,Aboutjo,AboutAshley Nicole,Aboutlarrissa,AboutRLR,Aboutaims,AboutStacy,AboutJ,AboutTara,AboutSusan,AboutMesha,AboutLooking995,AboutJami,AboutMisty,AboutRoxanna,AboutClaire,AboutAda09,AboutAmy,AboutMariana,AboutCORRAL,AboutPriscilla,AboutLaura,AboutCherry,Aboutbeka78,AboutAnna,AboutAli,Aboutkat,AboutDragonfly236,AboutSyl,AboutTricey,AboutPauline,AboutAydnil,AboutJennifer,AboutLINDA,AboutVee,AboutD,AboutGloria,AboutAshley,Aboutjenny,AboutRosario,AboutPatricia,AboutMichele,Aboutjoy,AboutVictoria,AboutKaren,Aboutcyndi,AboutMari,AboutKara,AboutIngrid,AboutPamela,AboutWanda,AboutPrettyFeetChef,AboutMyBaby49,AboutSharon,AboutRosalba,AboutEmma,AboutMary Rodriguez,AboutShestie,AboutJenny RM,AboutChristina,AboutApril,AboutSonia,AboutLinda,AboutJessica,AboutNilla,AboutAsk me,AboutTenci,AboutBonnie,AboutAngela,AboutElizabeth,AboutLina,AboutKatrina,AboutSaTexas65,AboutDena,AboutKatherine,AboutT,AboutThelM,AboutLatonya,AboutBeautiful,AboutLil,AboutRuth Guerrero,Aboutlisa,AboutMaintain,AboutPRINCE$$'''''''''''''''''''''''''''''''''''''''''',AboutBelle,AboutChristie,AboutKristen,AboutCynthia,AboutAjaye,AboutJetta,About Me,AboutMartha Taylor,AboutCarolyn,AboutAlejandra,AboutAnita,Aboutsusie,AboutI’m not ur side ✌️ ...I want to be ur ✌️,AboutMyrna,AboutDahlia,AboutJenni,AboutKristy,AboutGayle,AboutNancy,AboutMarie,Aboutneida,AboutStephanie,AboutR,AboutMelissa,AboutKiona,AboutCarmen,Aboutlinda,AboutJanette,AboutLynette,AboutCindie,AboutJoy,AboutJae,AboutMonie,AboutSue,AboutTerry,AboutNiqq,AboutLori,Aboutveronica,AboutKenda,Age,Gender,Zodiac Sign
match_388,NewBeginnings79,I’m beginning my new life here in SA,"['Hiking', 'Anything sports related', 'Movies']","I really appreciate all of the messages that I have received. If I have not responded, it’s most likely because of:1) attraction is important. It’s not the only thing, but there has to be something there that attracts me to you.2) I like men who are taller than 5’10”. It’s just a personal preference.3) you’re waaaaay too into yourself on your profile. I am not attracted to a man who uses snap chat filters or has photos of him shirtless in front of the mirror. Once again, just personal preference.4) your dating profile says you’re not looking for anything serious. 5) YOU DONT HAVE PICTURES! don’t message me if you do not have A picture of your face up!! PLEASE! In that being said, I’m ambitious and not afraid to take risks. Only the healthy ones though... if you’re not sure of who you are as a person, I’m not for you. I am attracted to men who see the good in people, stable, drug and smoke free. I love sports, dancing, and anything active. I’m pretty down to earth and easy to talk to. I officially don’t move to San Antonio till the end of July but I don’t know a single soul there so I’m hoping to meet a really good man and can show me around the new city. I have always had a love for SA and I’m hoping to find a different kind of love there too ??What I’m able to offer:Honesty Fun AdventureLoyalty Excitement LaughsStability No drama Affection I want to be the joy in someone’s life, so please be mine in return. If you have a lot of drama going on or are a player, save both of us the time and don’t send me a message. Also, I’m competitive by nature, so be ready to lose at pretty much everything we play. Let it be mini golf, basketball, bowling, etc. I won’t ever let you win. LolGood luck to you all out there, I hope you find what you are looking for.",Non-Smoker with Average body type," San antonio, Texas ","40 year old Female, 5' 6"" (168cm), Non-religious",Hispanic,NewBeginnings79 is looking for a relationship.,High school,Adventurer,Dental,Man,Dating,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Brown,Hazel,Yes,Yes,Over 10 years,Ambitious,No Pets,,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,F,Virgo
match_389,alwaysXOXOs,Let’s laugh and enjoy life,"['Staying active', 'Fitness', 'And walking']",Let’s talk and meet and see where this could end upNot a member so I can’t see “ wants to meet”So please text if you want to say Hello and have a conversation Let’s make this fun,Non-Smoker with Average body type," New braunfels, Texas ","53 year old Female, 5' 2"" (157cm), Baptist",Caucasian,alwaysXOXOs is looking for a relationship.,Associates Degree,Athletic,Contract facilitator ,Man,Dating,Not Completed, View her chemistry results,Socially,Prefer Not To Say,Divorced,No,Blond(e),Brown,Yes,All my kids are over 18,Over 10 years,Ambitious,,,Cat & Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,F,Scorpio
match_39,210shine,"If you're looking for p***y, check your mirror",None,"Honesty will get u a long way with me. Spare the bullshit. Heard it all. Want my attention..invite me out to eat or for a drink. Please don't message me if u live outside of SA or have ""I work a lot"" in your bio. U already making excuses before we even meet. Errbody works n has a lot going on. Don't need a complainer or bragger.",Non-Smoker with A Few Extra Pounds body type," San antonio, Texas ","39 year old Female, 5' 5"" (165cm), Non-religious",Hispanic,210shine wants to date but nothing serious.,High school,Foodie,Personal Assistant,Man,Hang Out,Not Completed,Not Completed,Socially,Does not want children,Single,No,Black,Brown,Yes,All my kids are over 18,Over 10 years,Not Ambitious,,Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,F,Taurus
match_390,mzsassy77,"No need to look any further, your Queen",None,"""Every King needs a Queen""Well, I'm back. Decided to give this site a go one last time. 1st off, where did all these other races come from? I keep sayn I DO NOT DATE OUTSIDE MY RACE but yall just keep msgn me n I will never open the msg...WHY WASTE YOUR TIME! 2nd A lot of you look gay as hell so Yea Im not responding 3rd A lot of u have n will pass me up because of my chair, but good, too bad on your small minded a***s. Your lost, definitely not mines.4. If I see u have viewed me n u see I viewed your profile n didnt msg u, it's because u are not on my level period, or just not my type.. Do old school dating/love still exist? I DO NOT DATE OUTSIDE MY RACE. BLACK MEN ARE EVERYTHING, THEY ARE KINGS, N EVERY WOMAN DESERVES A KING. So DO NOT inbox me period, I will NOT read it! I'm hopelessly romantic and believe there is still a piece of real love still out there.I'm from Chicago, moved here to San Antonio last year, and trying to get back into the dating world. Besides going to work, walmart, and home, I really don't get out much to meet people. If you are reading this, thanks for taking the time to stop by my page. I'm cool, down to earth, and love laughing and making others laugh. If you are not the silly type, but yet Grown, don't waste my time. It's ok to loosen up and have fun, from time to time. If you continue reading this and decide you would like to get to know more about me, first take a minute to read on before wasting your time. *Reset*1. If you see my profile reads looking for serious relationship, and you know that's not what you're looking for, please do not come into my inbox. I am not looking for a friend, I have plenty of those, so please DO NOT INBOX ME!2. If you are not single single, and you are just I'm mad at my girl type of single;, DO NOT COME IN MY INBOX. Playing games like that with me will have both of yall missing, SO DO NOT INBOX ME!3. If you are a thirsty horny freak and just looking to fuk, go to pornhub, or whatever it's called. I have a 3 month rule anyway, so you will be wasting your time with me, so DO NOT INBOX ME!4. If you are looking for someone to be your mom, DO NOT INBOX ME!5. If your pants are sagn, DO NOT INBOX ME!6. If you have money up to your ear, or them dumb big fake Camron earrings in your ear, DO NOT INBOX ME!7. If you know you are a person who is not consistent, DO NOT INBOX ME.8. If you lack words and inbox me with 1 or 2 words and can't write a complete sentence, DO NOT INBOX ME!9. If you are a texter and you are not working, GROW UP, AND PLEASE DO NOT INBOX ME!10. For the 1st line, DO NOT ASK ME WHAT HAPPENED TO ME, WHY AM I IN A WHEELCHAIR....save that for another time because it really doesn't matter. You either want to get to know me, or you don't. That shouldn't change anything. 11. If you are an alcoholic, DO NOT INBOX ME!12. If you go clubbing with your boys EVERY weekend, grow up and DO NOT INBOX ME!13. I am not looking for anyone to take care of me, but you will provide for me when needed. I don't need a man, I just want a man. I'm very independent. So if you don't have your own; Job, Apartment/house/car, DO NOT INBOX ME!14. If you have sex with men, that's beyond NASTY, PLZ DO NOT INBOX ME!15. If you believe marriage is just a piece of paper, PLEASE DO NOT INBOX ME!If you have made it to the end and none of the above apply to you, and feel you are man enough to handle me and looking for something serious, I would love to hear from you. Until then have a blessed day.",Non-Smoker with Average body type," San antonio, Texas ","42 year old Female, 5' 9"" (175cm), Non-religious",Black,mzsassy77 is looking for a relationship.,Associates Degree,Foodie,Medical Coder,Man,Long Term,Not Completed,Not Completed,Socially,Undecided/Open,Single,No,Brown,Green,No,Yes,Over 3 years,Very Ambitious,,Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,F,Cancer
match_391,denlew56,40 yr old woman stuck in a 61 yr old body!,"['The beach', 'Cuba', 'Dark Chocolate']","Hi y'all, I'm a young-looking, young and kind-hearted, down-to-earth optimist, hoping to find someone special for a possible long term relationship. Am not in a hurry and I refuse to settle. Would just like to meet a high quality gentleman and see where it goes. Have listed some of my interests and am always open to trying new things. I'm honest, healthy, fit, and would only consider someone with similar attributes.",Non-Smoker with Thin body type," Lakeway, Texas ","62 year old Female, 5' 5"" (165cm), New age",Caucasian,denlew56 is actively seeking a relationship.,Bachelors Degree,Free Thinker,Former registered nurse,Man,Long Term,Not Completed,View her chemistry results,No,Does not want children,Divorced,No,Brown,Hazel,Yes,All my kids are over 18,Over 10 years,Somewhat Ambitious,,,No Pets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,F,Scorpio
match_392,sandrasatx,Smile,"['Family', 'Outdoors', 'Gardening']","A little about me I'm a hard working lady started working at the age 14. A proud mom of two children and a grandma to a beautiful granddaughter. I can say I've learn by my mistakes not perfect and not a model working on getting back in shape. I enjoy spending time with family and friends it's the little things in life are memorable and priceless. Something I say, if you don't have nothing nice to say then you don't say nothing at all. I'm a friendly person, honest, loving, caring, loyal, and respect other as I would like it in return. Love and commitment is the key to a good relationship being able to communicate with each other forgetting about who's right and wrong work them out together because it takes two to be there for each other. I have a great sense of humor (goofy) I enjoy having fun with a positive attitude. I don't have a problem trying new things you never know you might like it. I want to be happy again missing my other half!! Please leave me a message if you want to get to know me! Don’t have upgrade. Thank you have a wonderful day!!",Non-Smoker with Average body type," San antonio, Texas ","55 year old Female, 5' 5"" (165cm), Christian - other",Native American,sandrasatx is looking for a relationship.,High school,Animal Lover,Machine Operator,Man,Long Term,Not Completed,Not Completed,Socially,Undecided/Open,Divorced,No,Grey,Brown,Yes,All my kids are over 18,Over 10 years,Somewhat Ambitious,Dog,,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,F,Aries
match_393,RealDealWoman10,Let the Good Times Roll!,"['Travel', 'Hikes', 'Walks']","Even though beauty, brains, and heart sound like THE total package, that special spark is my enthusiasm for life. I love to be excited about family, career, friends, and that special man! Integrity, respect, and honesty are the foundation for a meaningful relationship. Those qualities are a natural for me and a natural for you. Add humor, intellect, adventure, romance and it's time to meet!!! Those are current photos! I'm slim and fit and enjoy working out through walking, dancing, water volleyball, and yoga. Love live music, theater, the arts, traveling and exploring new cultures. Life is so much more exciting and fun shared with someone you are crazy about. You could be that special person if you're smart, fun, have integrity and an enthusiasm for life. Reach out by emailing and let the good times roll!",Non-Smoker with Thin body type," Austin, Texas ","60 year old Female, 5' 8"" (173cm), Other",Caucasian,RealDealWoman10 is actively seeking a relationship.,Masters Degree,Adventurer,Professor in dance & Fitness,Man,Long Term,Not Completed,View her chemistry results,Socially,Undecided/Open,Divorced,No,Brown,Hazel,Yes,No,Over 7 years,Ambitious,,,Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,F,Taurus
match_394,amazingwmn,Adorable woman seeking an Amazing Man,"['Beach', 'Cooking', 'Baking']","Howdy! I love to find the positive things in life and magnify them. I am looking for someone just as fun, optimistic, and thoughtful as I am. I have a busy schedule with my kids, but will certainly make time for the right guy.I believe life should be simple, and like to keep things as drama-free as possible.P.S. I like a bold man. If I see you have shown up in my Meet Me list a lot, but no message. I will continue to swipe left until YOU message. ",Non-Smoker with Prefer Not To Say body type," New braunfels, Texas ","42 year old Female, 5' 3"" (160cm), Catholic",Hispanic,amazingwmn is looking for a relationship.,Some college,Free Thinker,Management,Man,Dating,Not Completed,View her chemistry results,Socially,Undecided/Open,Single,No,Brown,Brown,Yes,Yes,Over 10 years,Very Ambitious,No Pets,,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,F,Taurus
match_395,TexasAngel0510,Looking or my Emergency Contact,None,"I'm a very down to Earth person who doesn't judge others. I like to cook but it sucks cooking for one person. I would like to meet and start off as friends then go from there. I'm not looking for a one night stand or a friends with benefits situation. Also, if you don't live in San Antonio or the surrounding areas please move on because I don't date someone long distance. Thanks for stopping by!",Non-Smoker with A Few Extra Pounds body type," San antonio, Texas ","44 year old Female, 5' 5"" (165cm), Christian - other",Caucasian,TexasAngel0510 is looking for a relationship.,Some college,Free Thinker,Administrative Assistant,Man,Friends,Not Completed,View her chemistry results,Socially,Undecided/Open,Divorced,No,Red,Brown,Yes,No,Over 3 years,Ambitious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Pets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,F,Taurus
match_396,aaaa5,"If distance is an issue, don’t act like it’s not!!",None,"Always the same faces. I have pics, they are just hidden.",Non-Smoker with Average body type," Austin, Texas ","41 year old Female, 5' 3"" (160cm), Non-religious",Mixed Race,aaaa5 wants to date but nothing serious.,Some college,Free Thinker,Operations ,Man,Dating,Not Completed,View her chemistry results,No,Does not want children,Single,No,Mixed Color,Brown,Yes,Yes,Over 10 years,Very Ambitious,No Pets,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,F,Cancer
match_397,LittleMissMarriedTake2,I’m married...read first before you message,None,"...***MESSAGE ME - DON’T SEE LIKES***- NO SMOKERS- Married & not wanting to change that, just looking for someone to have a little fun with.- Not looking for a 1 time hookup, but wanting to see someone on a consistent basis.- I purposely didn’t reveal a lot about my self, I’d rather we engage in conversation to get to know each other",Non-Smoker with Average body type," New braunfels, Texas ","39 year old Female, 5' 5"" (165cm), Non-religious",Caucasian,LittleMissMarriedTake2 wants to date but nothing serious.,Bachelors Degree,Night Owl,Sales & Marketing,Man,Dating,Not Completed,View her chemistry results,Socially,Does not want children,Not Single/Not Looking,No,Brown,Blue,Yes,No,Over 10 years,Ambitious,,No Pets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,F,Virgo
match_398,eajames1981,Take me Home Country Roads,None," Love Jesus, conservative, pro 2nd amendment, workout... a lot, live art, the outdoors, traveling, animals, and time with family.",Non-Smoker with Athletic body type," San antonio, Texas ","38 year old Female, 5' 6"" (168cm), Christian - other",Caucasian,eajames1981 wants to find someone to marry.,Bachelors Degree,Adventurer,Teacher,Man,Long Term,Not Completed,Not Completed,Socially,Undecided/Open,Divorced,No,Brown,Hazel,Yes,Yes,Over 6 years,Ambitious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,F,Aries
match_399,Julep,Looking for a new reason to smile...,"['Anime', 'Voice acting', 'Traveling']","Very tall SBF new to Austin, and travels a little bit in my career.. Occasionally I might act a little silly at sometimes but the truth is I am very intelligent, educated (multi Bach. degrees & a Masters). I understand no one is perfect and I will admit to my flaws. I have no issues with my self-esteem (ENFP personality type). I am a BBW- big curvy & tall woman that is well aware of what I look like, and I think I am adorable (& I post updated pics)! My current size is XL, & my gym goal is to work on my muscle development for my curvy frame. I'm active and I like being outdoors, but if you have issues with body types, please bypass me. I'm a faithful and awesome a friend to have, and most seem to think of me as a sister.. I love swimming and working out, so if you know your way around in a gym, definitely hit me up. I'm fun and down to earth, and a cancer survivor who embraces the joy each new day can bring. I believe in being civil; and I'm the type who will follow up in communicating (even if it is to wish you well and part ways). Just here to make friends and hangout for now. I haven't been successful in making friends as a newbie to the area, and so that's my M.O. I'm not hip, nor do I smoke/drink. I tend to be observant of men and more interested in their behaviors . This doesn't mean I am a sexual prude; it means that I know that there is a time and place for everything. Sex is NOT the FIRST thing you should discuss with a stranger, but I can converse on it when I get to know you. I believe in things happening at their own pace. I am a highly passionate person and seek that trait in others. If I'm pleased, I will always make sure those around me are even more so. FYI I am a SCORPIO, if you are into zodiacs.  Although I no longer live in Houston, I still love taking in the city life. I like traveling and going out but I don't get to do this much these days. I recently moved to the Austin area. I'm can really appreciate refined folks in suits & silk, but know I grew up kind of country.  I like interesting, intelligent people who do not hang on to baggage and truely enjoy life. I don't usually have hang-ups about race, gender nor age. Fairly open minded, as long as I feel I am being RESPECTED. I have a soft spot for children & animals, and an unexplainable fascination with redheads (still trying to figure that one out). I'm often described as very friendly easy-going, but I am by no means a push-over...I stand my ground and yet know when to be flexible. I am told I am somewhat unconventional, but I am who I am, and if that is different, so be it. My biggest pet peev is being told a pretty lie vs an uglier truth (respect me enough to give me the option of handling reality). I feel that basic manners to respond to those who write, even if it is to say ""no thank you"". I am learning how to play golf, but I have played rugby. I am a horrid speller and I always have lip gloss nearby. The last time a guy left me speechless, he sung karaoke pitch perfect, in the style of Steve Perry. I'll put care into looking good, but I love to go fishing and ""mudding"". I'm comfortable in jeans and can change my ride's oil. I am a good listener, and I am drawn to shy people as a challenge. I am the loyal friend most say they want but few people have.  I believe in treating people like they want to be treated. I am slow to anger, and I try to give everyone a benefit of a doubt.. If I can be summed up in one word, I think it would be ""KIND"". I could go on and on about myself, but it would not come close to really telling you who I am.WHAT I LIKE IN OTHERS: a good sense of humor, compassion, nice smiles, creativity, honesty, passionate about life, open minded and a competitive spirit. I generally am drawn to people older than myself. Seeing a guy in a well made suit is what dreams are made of, lol. I also have a soft spot for self-declared ""nerds"", ""dorks"" and ""geeks"". There is nothing wrong with not fitting in the box!I tend to hop profiles in a quiet manner. Chances are I saw something interesting about you if I ninja'ED by your profile here :)",Non-Smoker with Big & Tall/BBW body type," Center park, Texas ","40 year old Female, 6' 3"" (191cm), Christian - other",Black,Julep is actively seeking a relationship.,Graduate Degree,Sapiophile,Technology trainer ,Man,Friends,Viewher relationship needs,View her chemistry results,No,Undecided/Open,Single,No,Black,Brown,Yes,No,Over 6 years,Ambitious,,,Cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,F,Scorpio
match_4,prcanno,Can’t stand liars or cheaters with a passion!!!,None,"I love to laugh. So a sense of humor is a must. I get asked often why am I single; because I haven't met somebody that I want to be in a relationship with. I also get asked what I'm looking for on here. I'm not looking to get laid, because I can go out and have sex anytime I want. I want to find somebody worth getting to know and see where it goes from there. I can't stand liars, cheaters, or pushy men; I find all those types to be turn offs. I want to find somebody who can stand on their own two feet! I don't care what car you drive. If you own your own house or not, or how much money you make. I'm not here for all that! But on a side note: find tattoos attractive I tend to go for the tall guy. I'm extremely active and need somebody who can keep up with me.",Non-Smoker with Average body type," Leander, Texas ","40 year old Female, 5' 3"" (160cm), Non-religious",Caucasian,prcanno is actively seeking a relationship.,High school,Hopeless Romantic,retail manager,Man,Dating,Not Completed,View her chemistry results,Socially,Does not want children,Divorced,No,Mixed Color,Hazel,No,Yes,Over 5 years,Ambitious,,Cat & Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,F,Libra
match_40,SweetluvButterfly83,Seeing what''s out there,None,"Im a single mother. I work a lot. I don''t have time for games or bullshit. I know my worth and I won't settle for less. If you serious about getting to know someone who's old fashion, loves to talk on the phone and is homebody most of the time then send me a message.",Non-Smoker with A Few Extra Pounds body type," Schertz, Texas ","36 year old Female, < 5' (< 152 cm), Christian - other",Hispanic,SweetluvButterfly83 is looking for a relationship.,Some college,Hopeless Romantic,Phlebotomist,Man,Long Term,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Brown,Brown,Yes,Yes,Over 4 years,Ambitious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cat & Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,F,Virgo
match_400,MsLuvableV,Chocolate Angel in Disguise,"['Traveling', 'Shopping', 'Movies']","Someone to be honest understanding satisfying belonging affectionate needful and dedicated as well being funny loving and caring. He most definitely needs to be able too communicate with his partner. Definitely not looking for anyone who is into games or catfishing women!! You most definitely need to know exactly what you are wanting in your partner. So if you're looking for a sexy BBW who is independent, honest, funny, lovable with a cute smile and beautiful personality then I'm your girl ??.",Non-Smoker with Big & Tall/BBW body type," Hutto, Texas ","50 year old Female, 5' 4"" (163cm), Methodist",Black,MsLuvableV is actively seeking a relationship.,Bachelors Degree,Fashionista,Government ,Man,Dating,Not Completed,Not Completed,Socially,Prefer Not To Say,Divorced,No,Black,Brown,Yes,Yes,Over 4 years,Ambitious,,,No Pets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,F,Leo
match_401,credcat1,If you're sexy & a Gentleman u r winning!!,"['Karaoke', 'Traveling', 'Dancing']","Update*** 10-7-19 **** Please Read *****2 adult children 20 and 24... * Do Not send me a****kk pic*** Please be respectful*** No, I will not give out my number just so you can send me****k pics or request naked pics!! * Be Respectful!!* Look like your picture* I prefer to text/ talk first* I don't want to go to your house for a first date!!* I don't like a boring or possessive personality* If you have issues with a strong hard working woman then I'm not the one for you!!* I don't care how big of a****kk u have so don't ask me those types of questions!!!* I'm a big, thick confident woman and I don't need a man or his penis to complete me!!* I'm not a prude I just rather someone get to know me for who I am and not for my ""Goodies""!!!* Don't ask for my boob size. Obviously they are huge!! Guy's act like they've never seen a pair of tatas!!** Please don't tell me things you think I want to hear!!** Respect and being honest will take you far with me!!*** Don't ask Questions you don't want the answers too!! Some of you men can't handle it!! ** If you have Daddy/ mommy abandonment issues PLEASE don't hit me up!!!* I'm not trying to fix anybody!! ** Come at me as a Healthy Minded Man who Loves himself first so therefore you have something to offer me instead of what you offer down below...** I'm a very loving passionate person with the intention of having a loving, safe and sexual relationship when I have established a positive and long lasting foundation with a Mature like minded Man...*********** What I'm looking for**************** * Companionship* similar interests* great communication* trust* exclusivity* consistency* spending time with someone* getting dressed up for dates with you* trips together* lots of kissing once we get to that point* no games* make me a priority and I you* someone who is already a happy and confident person...I don''t deal with Drama!!I''m self sufficient!!I''m very happy!!I work alot!!",Non-Smoker with Average body type," New braunfels, Texas ","41 year old Female, 5' 1"" (155cm), Christian - other",Hispanic,credcat1 is actively seeking a relationship.,Some University,Hopeless Romantic,Medical Field,Man,Long Term,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Black,Brown,Yes,All my kids are over 18,Over 10 years,Ambitious,,,No Pets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,F,Aries
match_402,UniqLadyJu,It's Never Too Late!!!,"['Reading', 'Listening to music', 'Travelling']","Realistic, Down to earth, Confident, Spiritual, Fun-Loving, Affectionate with good sense of humor.Loves to travel..sightseeing & weekend getaway.Interested in someone with similar quality and who shares same interest or more...Companion long-term. ",Non-Smoker with Average body type," Austin, Texas ","56 year old Female, 5' 5"" (165cm), Other",Mixed Race,UniqLadyJu is looking for a relationship.,Bachelors Degree,Night Owl,Professional,Man,Friends,Not Completed,Not Completed,Socially,Undecided/Open,Divorced,No,Brown,Brown,Yes,Yes,Over 3 years,Very Ambitious,No Pets,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,F,Aquarius
match_403,KatrinaBrown02,Let's chat!!,None,Looking for cool guys to hang with.,Non-Smoker with Average body type," Austin, Texas ","37 year old Female, 5' 10"" (178cm), Christian - other",Black,KatrinaBrown02 isn't seeking a relationship or any kind of commitment.,High school,Diva,Cashier,Man,Friends,Not Completed,Not Completed,Often (>3times/week),Prefer Not To Say,Single,No,Black,Brown,No,No,Over 2 years,Ambitious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Pets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,F,Gemini
